r01,d01_1
r01,d04_3
r01,d04_4
r01,d09_3
r01,d12_7
r01,d13_4
r02,d02_1
r02,d07_2
r02,d09_3
r02,d11_2
r02,d13_4
r03,d04_2
r03,d06_2
r03,d08_1
r03,d12_7
r03,d16_1
r04,d04_1
r05,d05_1
r05,d12_2
r05,d12_3
r05,d14_3
r06,d03_3
r06,d05_2
r06,d09_2
r06,d09_4
r07,d02_1
r07,d10_7
r07,d13_4
r08,d06_3
r08,d08_3
r08,d10_4
r09,d02_1
r09,d04_2
r09,d09_4
r09,d16_2
r10,d03_3
r10,d06_5
r10,d07_2
r10,d09_2
r10,d09_3
r10,d10_2
r10,d10_7
r10,d11_2
r11,d07_2
r11,d11_2
r11,d12_7
r12,d09_3
r12,d12_7
r13,d03_3
r13,d09_2
r13,d12_7
r13,d13_4
r14,d04_2
r14,d10_8
r14,d12_2
r15,d04_3
r15,d04_4
r15,d15_1
r16,d06_3
r16,d08_3
r16,d09_3
r16,d16_3
r17,d09_3
r17,d12_2
r17,d14_3
r17,d16_3
